Timestamp(ms),Current(uA)
1,6671.316
2,6668.995
3,6663.702
4,6655.321
5,6663.105
6,6664.600
7,6651.796
8,6650.076
9,6648.703
10,6665.761
11,6648.545
12,6655.670
13,6657.575
14,6660.183
15,6665.287
16,6660.767
17,6670.581
18,6661.694
19,6659.382
20,6665.366
21,6654.979
22,6659.705
23,6660.036
24,6654.049
25,6662.407
26,6662.289
27,6659.262
28,6662.375
29,6656.926
30,6660.705
31,6648.750
32,6648.491
33,6647.944
34,6642.010
35,6655.997
36,6648.075
37,6651.726
38,6652.977
39,6649.254
40,6646.928
41,6647.715
42,6654.405
43,6666.912
44,6656.766
45,6654.372
46,6665.799
47,6658.507
48,6648.722
49,6659.766
50,6654.265
51,6660.002
52,6658.633
53,6659.370
54,6661.266
55,6658.506
56,6657.938
57,6656.618
58,6653.811
59,6641.438
60,6653.087
61,6657.127
62,6652.563
63,6646.988
64,6661.036
65,6653.604
66,6651.689
67,6648.948
68,6633.618
69,6642.369
70,6640.246
71,6646.623
72,6656.625
73,6665.008
74,6660.933
75,6673.267
76,6669.925
77,6665.345
78,6662.496
79,6661.186
80,6666.060
81,6666.752
82,6656.627
83,6652.381
84,6660.383
85,6651.943
86,6652.087
87,6653.257
88,6661.136
89,6665.406
90,6658.060
91,6658.289
92,6654.666
93,6660.985
94,6667.388
95,6669.921
96,6658.886
97,6667.574
98,6660.004
99,6664.866
100,6655.519
101,6652.857
102,6653.179
103,6645.910
104,6662.784
105,6667.626
106,6666.437
107,6670.040
108,6659.577
109,6660.019
110,6665.296
111,6662.739
112,6664.225
113,6659.984
114,6666.011
115,6660.828
116,6663.924
117,6666.064
118,6657.188
119,6651.524
120,6658.472
121,6655.189
122,6652.058
123,6660.335
124,6648.603
125,6650.889
126,6656.573
127,6646.186
128,6648.539
129,6654.690
130,6647.270
131,6646.575
132,6653.675
133,6647.914
134,6655.566
135,6648.467
136,6656.367
137,6648.773
138,6644.986
139,6642.882
140,6642.758
141,6645.541
142,6650.573
143,6661.472
144,6650.088
145,6650.185
146,6651.941
147,6650.895
148,6652.308
149,6660.971
150,6652.032
151,6653.703
152,6636.435
153,6641.052
154,6643.146
155,6637.215
156,6640.975
157,6638.635
158,6642.125
159,6641.580
160,6640.695
161,6643.641
162,6649.864
163,6652.926
164,6650.903
165,6638.698
166,6636.875
167,6637.913
168,6634.099
169,6638.106
170,6645.382
171,6641.840
172,6644.780
173,6642.641
174,6641.629
175,6646.922
176,6643.386
177,6638.322
178,6639.306
179,6642.754
180,6660.302
181,6656.072
182,6658.387
183,6670.883
184,6678.288
185,6662.776
186,6655.399
187,6652.419
188,6655.001
189,6662.663
190,6654.812
191,6646.803
192,6646.649
193,6655.774
194,6654.196
195,6656.066
196,6651.741
197,6653.460
198,6647.790
199,6650.570
200,6639.576
201,6642.489
202,6648.467
203,6641.957
204,6640.831
205,6646.885
206,6637.040
207,6623.483
208,6641.067
209,6633.720
210,6646.550
211,6647.112
212,6645.167
213,6639.814
214,6641.342
215,6642.540
216,6654.402
217,6644.281
218,6644.440
219,6649.863
220,6663.913
221,6657.420
222,6649.383
223,6641.206
224,6650.710
225,6662.833
226,6657.779
227,6657.181
228,6660.276
229,6661.148
230,6656.678
231,6658.605
232,6655.279
233,6660.899
234,6655.802
235,6656.930
236,6652.620
237,6659.871
238,6659.019
239,6666.330
240,6656.904
241,6655.749
242,6654.643
243,6660.183
244,6652.781
245,6657.539
246,6649.342
247,6651.236
248,6648.966
249,6660.258
250,6663.023
251,6655.803
252,6652.435
253,6652.032
254,6656.857
255,6652.936
256,6655.659
257,6662.175
258,6648.704
