Timestamp(ms),Current(uA)
0,12.097
1,11.943
2,11.889
3,11.883
4,11.864
5,11.903
6,11.938
7,11.942
8,11.963
9,11.917
10,11.915
11,11.939
12,11.936
13,11.960
14,11.914
15,11.909
16,11.947
17,11.937
18,11.952
19,11.911
20,11.893
21,11.930
22,11.934
23,11.948
24,11.916
25,11.904
26,11.931
27,11.929
28,11.950
29,11.894
30,11.892
31,11.940
32,11.910
33,11.935
34,11.869
35,11.868
36,11.901
37,11.889
38,11.915
39,11.855
40,11.855
41,11.882
42,11.880
43,11.919
44,11.877
45,11.849
46,11.871
47,11.874
48,11.906
49,11.879
50,11.874
51,11.882
52,11.894
53,11.926
54,11.886
55,11.879
56,11.877
57,11.879
58,11.915
59,11.858
60,11.867
61,11.871
62,11.861
63,11.900
64,11.862
65,11.871
66,11.876
67,11.869
68,11.911
69,11.862
70,11.895
71,11.882
72,11.868
73,11.904
74,11.848
75,11.881
76,11.868
77,11.863
78,11.907
79,11.863
80,11.880
81,11.871
82,11.861
83,11.907
84,11.830
85,11.886
86,11.870
87,11.838
88,11.896
89,11.830
90,11.891
91,11.867
92,11.831
93,11.891
94,11.819
95,11.888
96,11.867
97,11.821
98,11.882
99,11.816
100,11.877
101,11.872
102,11.813
103,11.881
104,11.816
105,11.886
106,11.882
107,11.801
108,11.875
109,11.810
110,11.879
111,11.882
112,11.783
113,11.871
114,11.777
115,11.864
116,11.885
117,11.787
118,11.866
119,11.781
120,11.842
121,11.854
122,11.754
123,11.828
124,11.745
125,11.837
126,11.851
127,11.746
128,11.818
129,11.733
130,11.813
131,11.859
132,11.756
133,11.829
134,11.750
135,11.837
136,11.870
137,11.754
138,11.802
139,11.720
140,11.816
141,11.864
142,11.742
143,11.791
144,11.729
145,11.816
146,11.845
147,11.740
148,11.776
149,11.714
150,11.806
151,11.853
152,11.750
153,11.774
154,11.723
155,11.814
156,11.850
157,11.756
158,11.793
159,11.717
160,11.805
161,11.861
162,11.768
163,11.784
164,11.703
165,11.804
166,11.849
167,11.755
168,11.776
169,11.712
170,11.794
171,11.837
172,11.759
173,11.794
174,11.693
175,11.793
176,11.839
177,11.763
178,11.794
179,11.702
180,11.795
181,11.851
182,11.755
183,11.787
184,11.687
185,11.785
186,11.840
187,11.760
188,11.804
189,11.682
190,11.784
191,11.841
192,11.748
193,11.794
194,11.683
195,11.785
196,11.834
197,11.736
198,11.797
199,11.683
200,11.773
201,11.846
202,11.736
203,11.793
204,11.665
205,11.756
206,11.831
207,11.723
208,11.792
209,11.667
210,11.752
211,11.832
212,11.736
213,11.799
214,11.658
215,11.747
216,11.823
217,11.725
218,11.815
219,11.682
220,11.751
221,11.829
222,11.716
223,11.822
224,11.685
225,11.730
226,11.819
227,11.706
228,11.811
229,11.683
230,11.718
231,11.808
232,11.702
233,11.799
234,11.681
235,11.706
236,11.802
237,11.687
238,11.790
239,11.681
240,11.700
241,11.804
242,11.691
243,11.788
244,11.676
245,11.695
246,11.788
247,11.675
248,11.776
249,11.689
250,11.702
251,11.807
252,11.688
253,11.805
254,11.702
255,11.698
256,11.782
257,11.674
258,11.790
259,11.704
260,11.696
261,11.779
262,11.672
263,11.793
264,11.710
265,11.705
266,11.782
267,11.672
268,11.796
269,11.720
270,11.724
271,11.784
272,11.677
273,11.798
274,11.711
275,11.724
276,11.771
277,11.637
278,11.780
279,11.705
280,11.709
281,11.768
282,11.642
283,11.780
284,11.702
285,11.707
286,11.757
287,11.633
288,11.763
289,11.676
290,11.673
291,11.721
292,11.575
293,11.728
294,11.661
295,11.694
296,11.727
297,11.581
298,11.743
299,11.683
300,11.697
301,11.732
302,11.587
303,11.743
304,11.667
305,12.020
306,12.640
307,12.671
308,12.907
309,12.867
310,12.903
311,12.940
312,12.733
313,12.904
314,12.833
315,12.862
316,12.896
317,12.700
318,12.873
319,12.815
320,12.847
321,12.882
322,12.681
323,12.865
324,12.796
325,12.814
326,12.864
327,12.657
328,12.830
329,12.775
330,12.795
331,12.859
332,12.616
333,12.811
334,12.754
335,12.756
336,12.836
337,12.596
338,12.785
339,12.736
340,12.745
341,12.818
342,12.581
343,12.737
344,12.701
345,12.720
346,12.819
347,12.557
348,12.729
349,12.683
350,12.701
351,12.805
352,12.557
353,12.709
354,12.659
355,12.672
356,12.769
357,12.527
358,12.668
359,12.632
360,12.641
361,12.743
362,12.492
363,12.627
364,12.604
365,12.614
366,12.729
367,12.487
368,12.633
369,12.599
370,12.602
371,12.707
372,12.465
373,12.616
374,12.579
375,12.586
376,12.699
377,12.475
378,12.605
379,12.564
380,12.574
381,12.677
382,12.448
383,12.590
