Timestamp(ms),Current(uA)
0,11.908
1,12.019
2,12.085
3,12.119
4,12.117
5,12.144
6,12.150
7,12.178
8,12.178
9,12.142
10,12.152
11,12.154
12,12.173
13,12.178
14,12.136
15,12.134
16,12.151
17,12.173
18,12.173
19,12.131
20,12.138
21,12.146
22,12.167
23,12.175
24,12.134
25,12.119
26,12.121
27,12.159
28,12.174
29,12.121
30,12.114
31,12.108
32,12.143
33,12.148
34,12.107
35,12.098
36,12.087
37,12.122
38,12.133
39,12.111
40,12.090
41,12.071
42,12.113
43,12.133
44,12.127
45,12.087
46,12.060
47,12.110
48,12.133
49,12.106
50,12.082
51,12.048
52,12.091
53,12.109
54,12.102
55,12.075
56,12.012
57,12.064
58,12.085
59,12.064
60,12.064
61,11.998
62,12.064
63,12.087
64,12.063
65,12.056
66,11.984
67,12.056
68,12.092
69,12.065
70,12.061
71,11.986
72,12.049
73,12.068
74,12.048
75,12.054
76,11.974
77,12.052
78,12.098
79,12.069
80,12.081
81,11.974
82,12.036
83,12.075
84,12.031
85,12.058
86,11.952
87,12.016
88,12.055
89,12.031
90,12.066
91,11.957
92,12.008
93,12.038
94,12.009
95,12.049
96,11.946
97,11.993
98,12.033
99,12.005
100,12.040
101,11.934
102,11.971
103,12.027
104,11.995
105,12.030
106,11.938
107,11.965
108,12.023
109,12.007
110,12.037
111,11.925
112,11.966
113,12.026
114,11.995
115,12.038
116,11.939
117,11.970
118,12.020
119,11.977
120,12.018
121,11.929
122,11.953
123,12.000
124,11.964
125,12.005
126,11.919
127,11.954
128,11.998
129,11.962
130,12.014
131,11.927
132,11.954
133,11.994
134,11.953
135,12.003
136,11.918
137,11.937
138,11.960
139,11.918
140,11.987
141,11.884
142,11.932
143,11.953
144,11.915
145,11.977
146,11.876
147,11.932
148,11.956
149,11.920
150,11.984
151,11.879
152,11.937
153,11.934
154,11.915
155,11.973
156,11.873
157,11.925
158,11.936
159,11.907
160,11.978
161,11.884
162,11.941
163,11.933
164,11.888
165,11.960
166,11.842
167,11.938
168,11.921
169,11.862
170,11.945
171,11.811
172,11.920
173,11.923
174,11.857
175,11.937
176,11.815
177,11.936
178,11.929
179,11.855
180,11.942
181,11.826
182,11.924
183,11.914
184,11.846
185,11.928
186,11.814
187,11.923
188,11.926
189,11.847
190,11.934
191,11.817
192,11.916
193,11.923
194,11.819
195,11.923
196,11.790
197,11.906
198,11.928
199,11.789
200,11.900
201,11.781
202,11.902
203,11.922
204,11.797
205,11.898
206,11.762
207,11.889
208,11.913
209,11.794
210,11.884
211,11.774
212,11.896
213,11.940
214,11.807
215,11.884
216,11.766
217,11.882
218,11.932
219,11.790
220,11.872
221,11.727
222,11.870
223,11.914
224,11.777
225,11.867
226,11.728
227,11.879
228,11.930
229,11.796
230,11.861
231,11.735
232,11.880
233,11.919
234,11.759
235,11.809
236,11.671
237,11.827
238,11.883
239,11.757
240,11.789
241,11.665
242,11.812
243,11.864
244,11.747
245,11.793
246,11.657
247,11.809
248,11.867
249,11.738
250,11.797
251,11.650
252,11.812
253,11.871
254,11.757
255,11.803
256,11.657
257,11.809
258,11.869
259,11.754
260,11.803
261,11.650
262,11.807
263,11.875
264,11.753
265,11.807
266,11.643
267,11.795
268,11.857
269,11.736
270,11.803
271,11.628
272,11.790
273,11.860
274,11.737
275,11.805
276,11.619
277,11.781
278,11.851
279,11.726
280,11.802
281,11.598
282,11.764
283,11.850
284,11.717
285,11.791
286,11.584
287,11.750
288,11.816
289,11.685
290,11.781
291,11.586
292,11.722
293,11.814
294,11.685
295,11.804
296,11.592
297,11.748
298,11.822
299,11.692
300,11.804
301,11.593
302,11.720
303,11.813
304,11.661
305,11.788
306,11.592
307,11.714
308,11.808
309,11.665
310,11.789
311,11.603
312,11.706
313,11.812
314,11.667
315,11.796
316,11.608
317,11.704
318,11.804
319,11.674
320,11.794
321,11.604
322,11.694
323,11.811
324,11.671
325,11.807
326,11.614
327,11.707
328,11.812
329,11.673
330,11.786
331,11.607
332,11.687
333,11.801
334,11.650
335,11.789
336,11.625
337,11.686
338,11.780
339,11.631
340,11.771
341,11.605
342,11.672
343,11.783
344,11.646
345,11.787
346,11.635
347,11.698
348,11.782
349,11.643
350,11.787
351,11.627
352,11.691
353,11.761
354,11.625
355,11.772
356,11.628
357,11.692
358,11.762
359,11.613
360,11.769
361,11.623
362,11.699
363,11.775
364,11.621
365,11.780
366,11.634
367,11.706
368,11.760
369,11.604
370,11.755
371,11.614
372,11.695
373,11.749
374,11.593
375,11.755
376,11.603
377,11.699
378,11.758
379,11.590
380,11.757
381,11.613
382,11.691
383,11.744
384,11.581
385,11.752
386,11.607
387,11.684
388,11.743
389,11.548
390,11.726
391,11.599
392,11.692
393,11.746
394,11.551
395,11.736
396,11.602
397,11.689
398,11.766
399,11.546
400,11.736
401,11.603
402,11.692
403,11.756
404,11.536
405,11.727
406,11.602
407,11.705
408,11.758
409,11.540
410,11.733
411,11.595
412,11.686
413,11.770
414,11.519
415,11.725
416,11.605
417,11.681
418,11.776
419,11.513
420,11.704
421,11.584
422,11.660
423,11.762
424,11.502
425,11.692
426,11.581
427,11.668
428,11.769
429,11.501
430,11.699
431,11.580
432,11.660
433,11.778
434,11.509
435,11.691
436,11.582
437,11.672
438,11.777
439,11.522
440,11.685
441,11.581
442,11.652
443,11.767
444,11.487
445,11.662
446,11.568
447,11.639
448,11.759
449,11.496
450,11.668
451,11.574
452,11.639
453,11.772
454,11.515
455,11.668
456,11.575
457,11.642
458,11.761
459,11.498
460,11.668
461,11.567
462,11.640
463,11.768
464,11.501
465,11.662
466,11.551
467,11.638
468,11.760
469,11.485
470,11.650
471,11.543
472,11.614
473,11.741
474,11.485
475,11.667
476,11.545
477,11.619
478,11.760
479,11.507
480,11.661
481,11.548
482,11.616
483,11.755
484,11.489
485,11.677
486,11.535
487,11.612
488,11.752
489,11.498
490,11.682
491,11.513
492,11.578
493,11.718
494,11.467
495,11.651
496,11.498
497,11.556
498,11.702
499,11.424
500,11.628
501,11.479
502,11.539
503,11.704
504,11.429
505,11.635
506,11.489
507,11.539
508,11.699
509,11.415
510,11.647
511,11.491
512,11.547
513,11.700
514,11.421
515,11.662
516,11.496
517,11.530
518,11.699
519,11.427
520,11.653
521,11.497
522,11.517
523,11.676
524,11.406
525,11.642
526,11.496
527,11.513
528,11.690
529,11.414
530,11.647
531,11.495
532,11.506
533,11.695
534,11.422
535,11.657
536,11.511
537,11.505
538,11.694
539,11.400
540,11.651
541,11.511
542,11.498
543,11.682
544,11.427
545,11.660
546,11.521
547,11.495
548,11.669
549,11.402
550,11.650
551,11.538
552,11.496
553,11.675
554,11.406
555,11.634
556,11.518
557,11.483
558,11.665
559,11.396
560,11.624
561,11.527
562,11.492
563,11.656
564,11.405
565,11.638
566,11.550
567,11.510
568,11.674
569,11.409
570,11.624
571,11.531
572,11.495
573,11.639
574,11.403
575,11.632
576,11.530
577,11.504
578,11.651
579,11.403
580,11.631
581,11.533
582,11.492
583,11.646
584,11.394
585,11.607
586,11.519
587,11.489
588,11.638
589,11.383
590,11.611
591,11.518
592,11.490
593,11.629
594,11.383
595,11.615
596,11.524
597,11.498
598,11.631
599,11.368
600,11.611
601,11.524
602,11.518
603,11.649
604,11.372
605,11.606
606,11.513
607,11.493
608,11.637
609,11.354
610,11.583
611,11.505
612,11.478
613,11.640
614,11.349
615,11.579
616,11.511
617,11.478
618,11.649
619,11.345
620,11.582
621,11.519
622,11.485
623,11.646
624,11.354
625,11.583
626,11.511
627,11.480
628,11.655
629,11.356
630,11.572
631,11.496
632,11.475
633,11.663
634,11.355
635,11.569
636,11.496
637,11.462
638,11.647
639,11.344
640,11.555
641,11.495
642,11.457
643,11.660
644,11.355
645,11.555
646,11.487
647,11.451
648,11.656
649,11.351
650,11.567
651,11.504
652,11.461
653,11.668
654,11.360
655,11.547
656,11.477
657,11.447
658,11.652
659,11.362
660,11.547
661,11.501
662,19.992
663,1241.212
664,10003.033
665,9497.624
666,7707.100
667,6950.140
668,6656.260
669,6647.596
670,6204.894
671,5776.938
672,5680.642
673,5647.862
674,5515.967
675,5621.808
676,5538.596
677,5588.702
678,5619.759
679,5498.485
680,5599.404
681,5531.605
682,5577.366
683,5612.120
684,5518.268
685,5610.142
686,5529.050
687,5581.188
688,5618.501
689,5523.064
690,5624.436
691,5596.062
692,6839.748
693,7648.570
694,7893.438
695,8147.931
696,8129.672
697,8101.471
698,7998.937
699,7843.363
700,7889.744
701,7779.546
702,7829.605
703,7872.209
704,7742.645
705,7852.591
706,7739.104
707,7811.103
708,7858.602
709,7766.920
710,7848.372
711,7768.291
712,7813.432
713,7817.237
714,7675.724
715,6729.988
716,5991.465
717,5758.178
718,5701.655
719,5549.850
720,5628.288
721,5525.129
722,5560.983
723,5613.437
724,5511.561
725,5612.770
726,5512.241
727,5552.566
728,5610.518
729,5506.931
730,5611.621
731,5527.575
732,5568.140
733,5633.208
734,5522.313
735,5619.801
736,5533.760
737,6724.781
738,7610.132
739,7896.054
740,8167.274
741,8136.346
742,8114.031
743,8018.888
744,7833.853
745,7907.642
746,7791.074
747,7817.852
748,7900.085
749,7804.624
750,7895.327
751,7765.944
752,7798.381
753,7902.167
754,7801.504
755,7889.653
756,7792.826
757,7817.744
758,7882.607
759,7610.229
760,10686.278
761,91899.406
762,46550.555
763,30318.955
764,23562.979
765,21316.254
766,20850.699
767,21133.736
768,20187.797
769,19453.863
770,19285.564
771,19082.283
772,19021.910
773,19119.264
774,18994.176
775,19092.063
776,19006.414
777,18989.512
778,19097.939
779,18998.969
780,19095.242
781,19002.730
782,19001.350
783,19105.063
784,19000.100
785,19104.541
786,19110.021
787,19141.652
788,19161.885
789,19029.979
790,19114.428
791,19008.686
792,18996.410
793,19078.383
794,18986.600
795,19087.176
796,19000.094
797,18986.740
798,19083.904
799,18995.268
800,19094.461
801,19007.215
802,18999.166
803,19092.234
804,18999.934
805,19097.600
806,19001.162
807,18993.688
808,19092.643
809,19011.801
810,19645.219
811,19562.268
812,19257.879
813,19198.428
814,19038.916
815,19099.863
816,18995.939
817,18987.865
818,19079.746
819,18983.947
820,19554.297
821,19885.162
822,20108.621
823,20077.520
824,19458.289
825,19300.416
826,19094.766
827,19043.410
828,19123.412
829,19016.125
830,19115.912
831,19045.930
832,19059.551
833,19686.299
834,19929.502
835,21006.906
836,21728.020
837,21690.480
838,21504.639
839,21286.557
840,21338.342
841,20908.127
842,20854.598
843,20973.248
844,20897.789
845,21016.684
846,21176.900
847,21772.641
848,21601.883
849,21147.275
850,20685.516
851,20352.438
852,20258.494
853,20484.984
854,20304.402
855,20098.486
856,19867.592
857,19784.375
858,19839.025
859,19716.402
860,19835.996
861,19762.443
862,19756.613
863,19838.898
864,20219.316
865,20686.340
866,20839.367
867,20405.463
868,20528.355
869,20646.717
870,20801.967
871,20779.451
872,20759.979
873,20873.980
874,20817.779
875,20889.316
876,20920.553
877,20851.748
878,20897.779
879,20814.904
880,20915.375
881,20837.230
882,20723.117
883,20530.713
884,20629.963
885,20893.764
886,20894.133
887,20866.871
888,20948.328
889,20393.277
890,20035.309
891,20472.760
892,21136.518
893,21487.791
894,21475.656
895,21591.873
896,21530.984
897,21522.715
898,21627.121
899,21523.371
900,21583.752
901,21531.547
902,21524.766
903,21621.637
904,21514.246
905,21584.641
906,21534.090
907,21533.412
908,21633.664
909,21538.178
910,21597.375
911,21544.949
912,21529.127
913,21621.961
914,21521.383
915,21589.563
916,21530.740
917,21538.932
918,21628.174
919,21526.359
920,21595.824
921,21555.703
922,21579.088
923,21677.924
924,21571.566
925,21636.977
926,21569.186
927,21577.252
928,21681.082
929,21571.488
930,21631.992
931,21573.543
932,21575.338
933,21678.916
934,21560.955
935,21625.422
936,21570.361
937,21574.215
938,21666.820
939,21558.711
940,21618.068
941,21560.230
942,21576.967
943,21663.639
944,21555.779
945,21629.834
946,21567.492
947,21570.385
948,21673.115
949,21564.934
950,21628.381
951,21558.621
952,21558.533
953,21662.016
954,21553.746
955,21603.537
956,21552.098
957,21561.191
958,21661.029
959,21556.023
960,21615.975
961,21580.484
962,27311.254
963,30252.615
964,28237.326
965,25321.352
966,23718.211
967,22996.451
968,22804.680
969,22584.703
970,22535.641
971,22440.041
972,22416.057
973,22511.574
974,22408.590
975,22447.561
976,22399.584
977,22413.838
978,22448.350
979,22140.023
980,21671.125
981,21260.092
982,21091.525
983,21127.787
984,21005.949
985,21050.064
986,21479.900
987,21947.598
988,21695.158
989,21277.443
990,21204.682
991,21099.422
992,21526.768
993,21962.646
994,22015.641
995,22180.771
996,22271.023
997,21731.070
998,21437.318
999,21160.629
1000,21129.230
1001,21061.938
1002,21036.463
1003,21139.781
1004,21043.686
1005,21094.568
1006,21056.006
1007,21032.527
1008,21136.852
1009,21042.182
1010,21093.604
1011,21065.738
1012,21030.844
1013,21125.629
1014,21036.609
1015,21090.309
1016,21055.193
1017,21042.428
1018,21138.428
1019,21045.063
1020,21068.816
1021,21055.498
1022,21035.131
1023,21136.473
1024,21052.889
1025,21084.143
1026,21058.531
1027,21054.680
1028,21123.416
1029,21036.635
1030,21060.145
1031,21057.662
1032,21048.289
1033,21137.445
1034,21053.639
1035,21072.459
1036,21050.859
1037,21046.832
1038,21139.572
1039,21051.244
1040,21082.369
1041,21059.160
1042,21048.840
1043,21143.389
1044,21062.613
1045,21083.295
1046,21059.791
1047,21044.494
1048,21127.264
1049,21027.908
1050,21057.148
1051,21053.156
1052,21043.912
1053,21124.230
1054,21046.131
1055,21069.205
1056,21067.182
1057,21049.631
1058,21133.010
1059,21038.938
1060,21069.477
1061,21062.893
1062,21050.496
1063,21141.303
1064,21042.354
1065,21060.156
1066,21067.707
1067,21033.551
1068,21145.514
1069,21036.066
1070,21056.750
1071,21071.512
1072,21070.641
1073,21157.717
1074,21046.396
1075,21064.506
1076,21083.719
1077,21061.709
1078,21147.406
1079,21035.496
1080,21045.182
1081,21067.563
1082,21054.715
1083,21154.631
1084,21050.080
1085,21065.184
1086,21069.283
1087,21055.660
1088,21138.725
1089,21044.779
1090,21060.066
1091,21070.586
1092,21049.412
1093,21150.430
1094,21275.461
1095,21325.961
1096,21211.270
1097,21115.881
1098,21169.654
1099,21063.131
1100,21083.797
1101,21100.969
1102,21082.998
1103,21172.455
1104,21065.293
1105,21457.234
1106,21875.109
1107,22094.889
1108,22282.266
1109,22392.563
1110,22548.422
1111,22464.076
1112,22288.152
1113,22398.945
1114,22499.410
1115,22589.291
1116,22392.514
1117,22255.307
1118,22484.328
1119,22532.986
1120,22502.232
1121,22344.439
1122,22285.992
1123,22533.420
1124,22576.707
1125,22425.727
1126,22292.346
1127,22355.412
1128,22604.313
1129,22584.750
1130,22365.543
1131,22256.137
1132,22404.586
1133,22633.529
1134,22483.990
1135,22303.641
1136,22296.348
1137,22469.623
1138,22689.285
1139,22417.057
1140,22299.752
1141,22396.322
1142,22545.197
1143,22652.686
1144,22360.168
1145,22262.492
1146,22436.930
1147,22582.730
1148,22556.287
1149,22299.770
1150,22322.705
1151,22488.090
1152,22614.736
1153,22476.297
1154,22262.820
1155,22382.113
1156,22534.049
1157,22522.078
1158,22399.191
1159,22264.914
1160,22442.025
1161,22586.129
1162,22453.023
1163,22370.732
1164,22325.600
1165,22507.066
1166,22589.447
1167,22361.004
1168,22324.994
1169,22387.322
1170,22544.773
1171,22493.523
1172,22295.074
1173,22360.842
1174,22462.912
1175,22603.459
1176,22433.879
1177,22281.324
1178,22439.557
1179,22525.658
1180,22560.496
1181,22364.205
1182,22236.424
1183,22493.531
1184,22553.285
1185,22483.375
1186,22316.313
1187,22290.775
1188,22535.461
1189,22595.381
1190,22401.133
1191,22287.648
1192,22362.871
1193,22601.305
1194,22555.246
1195,22360.797
1196,22283.637
1197,22434.803
1198,22661.500
1199,22494.121
1200,22313.479
1201,22326.316
1202,22465.818
1203,22679.107
1204,22413.012
1205,22286.080
1206,22394.773
1207,22550.584
1208,22624.107
1209,22354.602
1210,22295.381
1211,22467.068
1212,22566.844
1213,22517.707
1214,22291.953
1215,22351.418
1216,22511.760
1217,22604.643
1218,22443.250
1219,22275.480
1220,22402.471
1221,22561.904
1222,22492.957
1223,22387.330
1224,22298.535
1225,22480.303
1226,22623.350
1227,22429.998
1228,22352.303
1229,22371.971
1230,22535.736
1231,22582.738
1232,22353.324
1233,22318.471
1234,22441.500
1235,22583.596
1236,22519.926
1237,22319.297
1238,22380.227
1239,22493.188
1240,22624.859
1241,22410.785
1242,22279.006
1243,22431.813
1244,22545.451
1245,22550.797
1246,22365.748
1247,22279.520
1248,22494.076
1249,22594.295
1250,22462.457
1251,22319.115
1252,22352.174
1253,22560.316
1254,22623.439
1255,22411.945
1256,22280.793
1257,22400.758
1258,22597.514
1259,22509.859
1260,22341.271
1261,22302.260
1262,22469.201
1263,22647.121
1264,22430.943
1265,22280.041
1266,22351.533
1267,22507.188
1268,22613.320
1269,22377.574
1270,22279.385
1271,22424.568
1272,22558.252
1273,22527.451
1274,22327.125
1275,22321.156
1276,22488.004
1277,22619.146
1278,22445.150
1279,22275.117
1280,22386.793
1281,22552.469
1282,22542.529
1283,22388.252
1284,22277.369
1285,22382.807
1286,24710.830
1287,29232.865
1288,32532.012
1289,32296.551
1290,32026.781
1291,31770.266
1292,31715.986
1293,32070.219
1294,32233.402
1295,32503.766
1296,32660.621
1297,32701.715
1298,32559.299
1299,32361.295
1300,31913.301
1301,31597.936
1302,31471.127
1303,31465.533
1304,31400.193
1305,31352.328
1306,31357.930
1307,31378.170
1308,31394.158
1309,31300.873
1310,31325.951
1311,31371.090
1312,31369.947
1313,31413.295
1314,31314.910
1315,31321.635
1316,31369.441
1317,31370.883
1318,31398.521
1319,31356.951
1320,31385.340
1321,31401.195
1322,31357.199
1323,31376.342
1324,31353.400
1325,31372.545
