Timestamp(ms),Current(uA)
0,7.571
1,7.344
2,7.224
3,7.203
4,7.199
5,7.220
6,7.281
7,7.302
8,7.300
9,7.204
10,7.165
11,7.216
12,7.244
13,7.281
14,7.272
15,7.263
16,7.238
17,7.228
18,7.248
19,7.235
20,7.232
21,7.273
22,7.295
23,7.264
24,7.218
25,7.192
26,7.225
27,7.245
28,7.277
29,7.267
30,7.211
31,7.197
32,7.197
33,7.242
34,7.222
35,7.230
36,7.253
37,7.226
38,7.218
39,7.179
40,7.185
41,7.196
42,7.223
43,7.271
44,7.224
45,7.170
46,7.172
47,7.195
48,7.224
49,7.217
50,7.235
51,7.203
52,7.179
53,7.208
54,7.180
55,7.204
56,7.192
57,7.209
58,7.248
59,7.144
60,7.166
61,7.144
62,7.156
63,7.215
64,7.190
65,7.243
66,7.167
67,7.133
68,7.182
69,7.148
70,7.205
71,7.191
72,7.189
73,7.194
74,7.122
75,7.170
76,7.153
77,7.146
78,7.209
79,7.177
80,7.204
81,7.140
82,7.101
83,7.182
84,7.130
85,7.212
86,7.204
87,7.132
88,7.158
89,7.083
90,7.159
91,7.173
92,7.102
93,7.182
94,7.126
95,7.145
96,7.138
97,7.082
98,7.157
99,7.113
100,7.192
101,7.190
102,7.062
103,7.127
104,7.075
105,7.157
106,7.181
107,7.113
108,7.178
109,7.073
110,7.117
111,7.148
112,7.062
113,7.156
114,7.091
115,7.177
116,7.154
117,7.040
118,7.111
119,7.045
120,7.132
121,7.191
122,7.098
123,7.108
124,7.004
125,7.101
126,7.149
127,7.066
128,7.128
129,7.086
130,7.131
131,7.148
132,7.053
133,7.097
134,7.043
135,7.151
136,7.201
137,7.100
138,7.076
139,6.985
140,7.102
141,7.155
142,7.073
143,7.112
144,7.004
145,7.082
146,7.118
147,7.040
148,7.070
149,6.984
150,7.130
151,7.148
152,7.039
153,7.045
154,6.955
155,7.085
156,7.148
157,7.100
158,7.105
159,6.949
160,7.061
161,7.093
162,7.055
163,7.085
164,6.988
165,7.123
166,7.114
167,7.017
168,7.058
169,6.926
170,7.090
171,7.158
172,7.070
173,7.055
174,6.883
175,7.034
176,7.108
177,7.039
178,7.098
179,6.950
180,7.067
181,7.091
182,7.004
183,7.051
184,6.911
185,7.072
186,7.146
187,7.031
188,7.056
189,6.877
190,7.028
191,7.100
192,7.045
193,7.117
194,6.899
195,6.999
196,7.071
197,6.999
198,7.095
199,6.926
200,7.077
201,7.117
202,6.991
203,7.082
204,6.897
205,7.028
206,7.101
207,7.031
208,7.098
209,6.870
210,6.968
211,7.050
212,6.992
213,7.102
214,6.922
215,7.053
216,7.078
217,6.977
218,7.061
219,6.895
220,7.014
221,7.112
222,7.017
223,7.054
224,6.871
225,6.967
226,7.062
227,6.956
228,7.082
229,6.946
230,6.966
231,7.027
232,6.943
233,7.053
234,6.909
235,7.014
236,7.111
237,6.960
238,7.031
239,6.880
240,6.962
241,7.044
242,6.968
243,7.099
244,6.919
245,6.959
246,7.018
247,6.942
248,7.070
249,6.949
250,7.028
251,7.065
252,6.918
253,7.029
254,6.901
255,6.971
256,7.050
257,6.969
258,7.054
259,6.885
260,6.951
261,7.008
262,6.923
263,7.075
264,6.959
265,7.015
266,7.008
267,6.912
268,7.061
269,6.931
270,7.034
271,7.079
272,6.988
273,7.034
274,6.890
275,6.989
276,7.022
277,6.907
278,7.056
279,6.944
280,6.985
281,7.000
282,6.861
283,7.025
284,6.921
285,7.020
286,7.063
287,6.865
288,7.010
289,6.872
290,6.971
291,7.019
292,6.894
293,7.053
294,6.874
295,6.964
296,7.003
297,6.862
298,7.032
299,6.923
300,7.034
301,7.024
302,6.838
303,6.996
304,6.889
305,6.991
306,7.056
307,6.888
308,7.014
309,6.863
310,6.967
311,7.026
312,6.844
313,7.033
314,6.931
315,6.975
316,7.012
317,6.807
318,6.982
319,6.890
320,6.997
321,7.082
322,6.855
323,6.957
324,6.850
325,6.947
326,7.047
327,6.845
328,7.012
329,6.903
330,6.951
331,7.028
332,6.804
333,6.981
334,6.889
335,6.986
336,7.095
337,6.812
338,6.950
339,6.853
340,6.946
341,7.061
342,6.853
343,6.990
344,6.848
345,6.915
346,7.032
347,6.823
348,6.961
349,6.891
350,6.975
351,7.027
352,6.813
353,6.940
354,6.858
355,6.954
356,7.069
357,6.873
358,6.935
359,6.822
360,6.905
361,7.019
362,6.811
363,6.962
364,6.888
365,6.907
366,7.006
367,6.804
368,6.940
369,6.850
370,6.942
371,7.069
372,6.818
373,6.917
374,6.815
375,6.896
376,7.026
377,6.841
378,6.983
379,6.835
380,6.899
381,7.006
382,6.823
383,6.969
384,6.858
385,6.962
386,7.055
387,6.793
388,6.930
389,6.792
390,6.888
391,7.031
392,6.814
393,6.955
394,6.790
395,6.882
396,7.025
397,6.815
398,6.989
399,6.873
400,6.925
401,7.011
402,6.789
403,6.964
404,6.835
405,6.909
406,7.063
407,6.804
408,6.941
409,6.779
410,6.851
411,7.004
412,6.796
413,7.009
414,6.849
415,6.836
416,6.982
417,6.757
418,6.967
419,6.849
420,6.897
421,7.061
422,6.744
423,6.939
424,6.805
425,6.827
426,6.998
427,6.775
428,7.011
429,6.813
430,6.820
431,6.984
432,6.759
433,6.984
434,6.871
435,6.901
436,6.996
437,6.746
438,6.951
439,6.836
440,6.852
441,7.019
442,6.777
443,6.926
444,6.804
445,6.799
446,6.985
447,6.742
448,6.975
449,6.891
450,6.813
451,6.964
452,6.727
453,6.954
454,6.878
455,6.847
456,7.009
457,6.717
458,6.925
459,6.839
460,6.825
461,6.977
462,6.743
463,6.999
464,6.877
465,6.804
466,6.946
467,6.716
468,6.968
469,6.888
470,6.875
471,6.962
472,6.676
473,6.902
474,6.829
475,6.823
476,7.545
477,7.680
478,8.096
479,8.078
480,8.077
481,8.219
482,7.926
483,8.115
484,8.012
485,7.995
486,8.134
487,7.878
488,8.131
