Timestamp(ms),Current(uA)
0,11.901
1,11.622
2,11.492
3,11.493
4,11.483
5,11.466
6,11.528
7,11.534
8,11.554
9,11.533
10,11.504
11,11.543
12,11.542
13,11.558
14,11.540
15,11.496
16,11.534
17,11.543
18,11.561
19,11.548
20,11.505
21,11.537
22,11.539
23,11.553
24,11.555
25,11.494
26,11.529
27,11.538
28,11.561
29,11.569
30,11.484
31,11.512
32,11.501
33,11.539
34,11.568
35,11.508
36,11.517
37,11.499
38,11.546
39,11.563
40,11.495
41,11.509
42,11.504
43,11.549
44,11.564
45,11.515
46,11.515
47,11.515
48,11.560
49,11.582
50,11.523
51,11.499
52,11.509
53,11.553
54,11.570
55,11.515
56,11.498
57,11.471
58,11.536
59,11.561
60,11.501
61,11.503
62,11.461
63,11.525
64,11.562
65,11.511
66,11.495
67,11.461
68,11.529
69,11.559
70,11.522
71,11.466
72,11.434
73,11.500
74,11.530
75,11.488
76,11.469
77,11.415
78,11.497
79,11.527
80,11.498
81,11.472
82,11.410
83,11.494
84,11.523
85,11.464
86,11.461
87,11.367
88,11.480
89,11.511
90,11.478
91,11.481
92,11.369
93,11.480
94,11.521
95,11.475
96,11.486
97,11.375
98,11.481
99,11.507
100,11.472
101,11.481
102,11.369
103,11.470
104,11.517
105,11.469
106,11.501
107,11.378
108,11.478
109,11.517
110,11.476
111,11.506
112,11.364
113,11.470
114,11.524
115,11.466
116,11.503
117,11.360
118,11.467
119,11.531
120,11.460
121,11.510
122,11.364
123,11.446
124,11.515
125,11.466
126,11.521
127,11.365
128,11.447
129,11.514
130,11.462
131,11.510
132,11.373
133,11.432
134,11.516
135,11.459
136,11.522
137,11.388
138,11.440
139,11.518
140,11.443
141,11.526
142,11.385
143,11.447
144,11.508
145,11.440
146,11.509
147,11.356
148,11.396
149,11.446
150,11.390
151,11.459
152,11.331
153,11.392
154,11.450
155,11.398
156,11.464
157,11.347
158,11.396
159,11.449
160,11.389
161,11.456
162,11.345
163,11.396
164,11.441
165,11.398
166,11.475
167,11.351
168,11.398
169,11.434
170,11.387
171,11.467
172,11.355
173,11.418
174,11.428
175,11.375
176,11.463
177,11.363
178,11.417
179,11.446
180,11.393
181,11.467
182,11.366
183,11.427
184,11.445
185,11.385
186,11.485
187,11.377
188,11.434
189,11.443
190,11.379
191,11.478
192,11.371
193,11.459
194,11.459
195,11.376
196,11.478
197,11.376
198,11.452
199,11.464
200,11.369
201,12.221
202,12.372
203,12.543
204,12.582
205,12.491
206,12.600
207,12.490
208,12.562
209,12.566
210,12.442
211,12.554
212,12.449
213,12.525
214,12.542
215,12.420
216,12.520
217,12.435
218,12.523
219,12.523
220,12.376
221,12.501
222,12.394
223,12.463
224,12.514
225,12.362
226,12.483
227,12.386
228,12.466
229,12.500
230,12.333
231,12.456
232,12.367
233,12.436
234,12.479
235,12.322
236,12.435
237,12.351
238,12.433
239,12.472
240,12.299
241,12.389
242,12.284
243,12.360
244,12.421
245,12.247
246,12.360
247,12.265
248,12.332
249,12.402
250,12.211
251,12.325
252,12.243
253,12.301
254,12.380
255,12.203
256,12.303
257,12.234
258,12.294
259,12.357
260,12.162
261,12.269
262,12.203
263,12.279
264,12.360
265,12.201
266,12.287
267,12.218
268,12.285
269,12.339
270,12.173
271,12.267
272,12.201
273,12.266
274,12.338
275,12.171
276,12.249
277,12.167
278,12.223
279,12.314
280,12.144
281,12.245
282,12.163
283,12.225
284,12.312
285,12.149
286,12.235
287,12.146
288,12.207
289,12.296
290,12.137
291,12.225
292,12.124
293,12.202
294,12.288
295,12.128
296,12.227
297,12.125
298,12.189
299,12.265
300,12.097
301,12.201
302,12.086
303,12.159
304,12.254
305,12.078
306,12.199
307,12.074
308,12.145
309,12.250
310,12.070
311,12.187
312,12.059
313,12.122
314,12.236
315,12.055
316,12.171
317,12.046
318,12.088
319,12.179
320,11.990
321,12.122
322,11.990
323,12.044
324,12.157
325,11.992
326,12.138
327,11.992
328,12.030
329,12.145
330,11.979
331,12.122
332,11.994
333,12.032
334,12.139
335,11.932
336,12.112
337,11.985
338,11.991
339,12.130
340,11.943
341,12.111
342,11.987
343,11.998
344,12.134
345,11.938
346,12.091
347,11.977
348,11.965
349,12.103
350,11.919
351,12.072
352,11.967
353,11.959
354,12.108
355,11.910
356,12.083
357,11.974
358,11.950
359,12.067
360,11.871
361,12.056
362,11.966
363,11.937
364,12.058
365,11.856
366,12.052
367,11.961
368,11.919
369,12.038
370,11.835
371,12.025
372,11.945
373,11.918
374,12.034
375,11.824
376,12.027
377,11.950
378,11.927
379,12.026
380,11.814
381,12.002
382,11.930
383,11.895
384,11.997
385,11.822
386,12.006
387,11.936
388,11.892
389,11.988
390,11.781
391,11.990
392,11.937
393,11.900
394,11.989
395,11.751
396,11.953
397,11.869
398,11.839
399,11.932
400,11.705
401,11.928
402,11.866
403,11.842
404,11.927
405,11.695
406,11.914
407,11.847
408,11.855
409,11.924
410,11.694
411,11.912
412,11.859
413,11.852
414,11.918
415,11.661
416,11.903
417,11.836
418,11.832
419,11.924
420,11.661
421,11.901
422,11.849
423,11.822
424,11.918
425,11.652
426,11.900
427,11.849
428,11.828
429,11.922
430,11.632
431,11.886
432,11.837
433,11.825
434,11.927
435,11.611
436,11.873
437,11.811
438,11.797
439,11.919
440,11.620
441,11.870
442,11.820
443,11.797
444,11.922
445,11.618
446,11.857
447,11.814
448,11.779
449,11.925
450,11.614
451,11.837
452,11.815
453,11.785
454,11.925
455,11.619
456,11.831
457,11.814
458,11.780
459,11.915
460,11.601
461,11.809
462,11.793
463,11.762
464,11.922
465,11.608
466,11.800
467,11.778
468,11.766
469,11.922
470,11.615
471,11.800
472,11.772
473,11.698
474,11.853
475,11.554
476,11.734
477,11.721
478,11.682
479,11.839
480,11.567
481,11.729
482,11.708
483,11.682
484,11.847
485,11.574
486,11.745
487,11.728
488,11.686
489,11.836
490,11.555
491,11.727
492,11.705
493,11.674
494,11.836
495,11.577
496,11.733
497,11.703
498,11.649
499,11.820
500,11.564
501,11.702
502,11.673
503,11.638
504,11.825
505,11.574
506,11.726
507,11.669
508,11.633
509,11.824
510,11.570
511,11.725
512,11.679
513,11.654
514,11.826
515,11.572
516,11.723
517,11.662
518,11.627
519,11.820
520,11.568
521,11.721
522,11.658
523,11.622
524,11.808
525,11.570
526,11.721
527,11.658
528,11.614
529,11.825
530,11.583
531,11.732
532,11.656
533,11.597
534,11.811
535,11.569
536,11.733
537,11.669
538,11.598
539,11.815
540,11.568
541,11.739
542,11.655
543,11.583
544,11.797
545,11.558
546,11.738
547,11.672
548,11.572
549,11.777
550,11.515
551,11.699
552,11.627
553,11.495
554,11.725
555,11.490
556,11.667
557,11.613
558,11.486
559,11.719
560,11.491
561,11.658
562,11.610
563,11.473
564,11.715
565,11.489
566,11.649
567,11.614
568,11.476
569,11.712
570,11.489
571,11.657
572,11.617
573,11.468
574,11.710
575,11.479
576,11.648
577,11.622
578,11.480
579,11.707
580,11.481
581,11.622
582,11.623
583,11.446
584,11.664
585,11.469
586,11.637
587,11.632
588,11.454
589,11.686
590,11.487
591,11.641
592,11.628
593,11.464
594,11.666
595,11.462
596,11.635
597,11.623
598,11.469
599,11.669
600,11.474
601,11.628
602,11.622
603,11.457
604,11.659
605,11.459
606,11.631
607,11.626
608,11.453
609,11.649
610,11.459
611,11.612
612,11.623
613,11.456
614,11.663
615,11.458
616,11.610
617,11.614
618,11.456
619,11.654
620,11.441
621,11.594
622,11.610
623,11.458
624,11.649
625,11.442
626,11.571
627,11.564
628,11.417
629,11.606
630,11.386
631,11.554
632,11.554
633,11.417
634,11.614
635,11.382
636,11.538
637,11.556
638,11.381
639,11.603
640,11.378
641,11.541
642,11.572
643,11.388
644,11.607
645,11.375
646,11.539
647,11.550
648,11.391
649,11.613
650,11.366
651,11.534
652,11.551
653,11.381
654,11.625
655,11.375
656,11.529
657,11.558
658,11.392
659,11.631
660,11.375
661,11.528
662,11.549
663,11.364
664,11.642
665,11.375
666,11.506
667,11.553
668,11.362
669,11.646
670,11.378
671,11.497
672,11.552
673,11.373
674,11.639
675,11.382
676,11.500
677,11.557
678,11.374
679,11.655
680,11.395
681,11.498
682,11.548
683,11.370
684,11.657
685,11.413
686,11.502
687,11.550
688,11.378
689,11.662
690,11.410
691,11.467
692,11.536
693,11.354
694,11.647
695,11.396
696,11.466
697,11.544
698,11.339
699,11.635
700,11.418
701,11.481
702,11.534
703,11.302
704,11.577
705,11.359
706,11.422
707,11.474
708,11.287
709,11.593
710,11.377
711,11.450
712,11.494
713,11.309
714,11.601
715,11.387
716,11.429
717,11.467
718,11.292
719,11.576
720,11.371
721,11.421
722,11.460
723,11.273
724,11.570
725,11.367
726,11.416
727,11.450
728,11.288
729,11.563
730,11.378
731,11.427
732,11.452
733,11.284
734,11.591
735,11.382
736,11.442
737,11.452
738,11.274
739,11.570
740,11.378
741,11.442
742,11.458
743,11.281
744,11.584
745,11.380
746,11.432
747,11.443
748,11.277
749,11.563
750,11.379
751,11.445
752,11.458
753,11.280
754,11.570
755,11.377
756,11.452
757,11.463
758,11.278
759,11.565
760,11.376
761,11.447
762,11.461
763,11.258
764,11.566
765,11.391
766,11.449
767,11.463
768,11.265
769,11.570
770,11.384
771,11.447
772,11.473
773,11.258
774,11.555
775,11.392
776,11.435
777,11.488
778,11.266
779,11.551
780,11.349
781,11.389
782,11.429
783,11.206
784,11.502
785,11.333
786,11.389
787,11.432
788,11.204
789,11.481
790,11.318
791,11.377
792,11.448
793,11.222
794,11.492
795,11.330
796,11.383
797,11.460
798,11.232
799,11.499
800,11.328
801,11.370
802,11.461
803,11.217
804,11.465
805,11.317
806,11.359
807,11.447
808,11.231
809,11.478
810,11.326
811,11.365
812,11.463
813,11.248
814,11.470
815,11.330
816,11.380
817,11.473
818,11.250
819,11.468
820,11.333
821,11.379
822,11.467
823,11.249
824,11.453
825,11.312
826,11.356
827,11.464
828,11.255
829,11.454
830,11.325
831,11.359
832,11.464
833,11.281
834,11.472
835,11.328
836,11.354
837,11.468
838,11.285
839,11.478
840,11.315
841,11.348
842,11.456
843,11.286
844,11.476
845,11.307
846,11.364
847,11.470
848,11.290
849,11.484
850,11.310
851,11.360
852,11.477
853,11.289
854,11.492
855,11.309
856,11.291
857,11.416
858,11.240
859,11.435
860,11.267
861,11.295
862,11.435
863,11.263
864,11.453
865,11.276
866,11.289
867,11.445
868,11.264
869,11.460
870,11.267
871,11.290
872,11.428
873,11.246
874,11.461
875,11.273
876,11.300
877,11.425
878,11.271
879,11.490
880,11.283
881,11.277
882,11.431
883,11.263
884,11.472
885,11.282
886,11.263
887,11.416
888,11.252
889,11.460
890,11.278
891,11.256
892,11.426
893,11.265
894,11.492
895,11.298
896,11.271
897,11.436
898,11.280
899,11.495
900,11.317
901,11.263
902,11.430
903,11.281
904,11.485
905,11.308
906,11.255
907,11.436
908,11.280
909,11.502
910,11.333
911,11.250
912,11.428
913,11.281
914,11.489
915,11.333
916,11.252
917,11.418
918,11.281
919,11.481
920,11.348
921,11.269
922,11.419
923,11.276
924,11.485
925,11.357
926,11.258
927,11.410
928,11.274
929,11.486
930,11.351
931,11.270
932,11.413
933,11.245
934,11.447
935,11.305
936,11.217
937,11.363
938,11.230
939,11.414
940,11.301
941,11.199
942,11.359
943,11.233
944,11.425
945,11.294
946,11.197
947,11.351
948,11.232
949,11.430
950,11.309
951,11.214
952,11.359
953,11.236
954,11.436
955,11.305
956,11.222
957,11.356
958,11.240
959,11.437
960,11.324
961,11.236
962,11.374
963,11.233
964,11.435
965,11.319
966,11.220
967,11.357
968,11.224
969,11.414
970,11.299
971,11.227
972,11.369
973,11.210
974,11.420
975,11.315
976,11.235
977,11.374
978,11.214
979,11.423
980,11.320
981,11.235
982,11.388
983,11.213
984,11.415
985,11.324
986,11.234
987,11.389
988,11.214
989,11.424
990,11.319
991,11.243
992,11.397
993,11.220
994,11.407
995,11.325
996,11.239
997,11.408
998,11.232
999,11.406
1000,11.318
1001,11.228
1002,11.396
1003,11.218
1004,11.398
1005,11.311
1006,11.245
1007,11.416
1008,11.233
1009,11.369
1010,11.275
1011,11.190
1012,11.371
1013,11.186
1014,11.350
1015,11.268
1016,11.198
1017,11.383
1018,11.201
1019,11.354
1020,11.277
1021,11.199
1022,11.360
1023,11.194
1024,11.321
1025,11.268
1026,11.197
1027,11.375
1028,11.210
1029,11.314
1030,11.263
1031,11.203
1032,11.367
1033,11.209
1034,11.321
1035,11.283
1036,11.206
1037,11.392
