Timestamp(ms),Current(uA)
0,11.616
1,11.867
2,11.950
3,12.002
4,11.993
5,12.046
6,12.086
7,12.076
8,12.098
9,12.033
10,12.035
11,12.088
12,12.090
13,12.094
14,12.012
15,12.031
16,12.073
17,12.058
18,12.066
19,11.996
20,12.010
21,12.055
22,12.062
23,12.071
24,12.001
25,11.966
26,11.995
27,12.006
28,12.026
29,11.954
30,11.936
31,11.974
32,11.963
33,11.993
34,11.950
35,11.944
36,11.995
37,11.974
38,12.005
39,11.947
40,11.936
41,11.972
42,11.960
43,11.980
44,11.945
45,11.928
46,11.963
47,11.958
48,11.985
49,11.947
50,11.927
51,11.938
52,11.937
53,11.976
54,11.945
55,11.936
56,11.939
57,11.916
58,11.953
59,11.935
60,11.901
61,11.920
62,11.898
63,11.942
64,11.910
65,11.902
66,11.893
67,11.892
68,11.946
69,11.926
70,11.916
71,11.909
72,11.897
73,11.950
74,11.919
75,11.921
76,11.913
77,11.894
78,11.944
79,11.912
80,11.916
81,11.897
82,11.871
83,11.932
84,11.905
85,11.898
86,11.879
87,11.836
88,11.915
89,11.893
90,11.909
91,11.882
92,11.839
93,11.917
94,11.900
95,11.907
96,11.883
97,11.828
98,11.904
99,11.885
100,11.904
101,11.888
102,11.823
103,11.900
104,11.890
105,11.894
106,11.887
107,11.807
108,11.896
109,11.886
110,11.890
111,11.884
112,11.773
113,11.865
114,11.872
115,11.872
116,11.887
117,11.781
118,11.886
119,11.879
120,11.880
121,11.888
122,11.773
123,11.863
124,11.847
125,11.825
126,11.838
127,11.731
128,11.825
129,11.813
130,11.822
131,11.852
132,11.733
133,11.800
134,11.801
135,11.810
136,11.856
137,11.716
138,11.783
139,11.791
140,11.790
141,11.838
142,11.692
143,11.773
144,11.787
145,11.783
146,11.838
147,11.700
148,11.766
149,11.777
150,11.780
151,11.836
152,11.697
153,11.752
154,11.770
155,11.775
156,11.834
157,11.716
158,11.755
159,11.780
160,11.783
161,11.828
162,11.715
163,11.749
