Designator,Mid X,Mid Y,Rotation,Layer
BT1,133.03,-116.86,0,bottom
C1,132.08,-104.32,90,top
C10,149.53,-125.825,-90,bottom
C11,151.96,-94.69,180,top
C12,143.5,-94.13,0,top
C13,145.465,-123.55,0,bottom
C14,148.5,-123.55,180,bottom
C15,133.21,-74.13,180,top
C16,133.21,-69.58,180,top
C17,143.51,-95.67,0,top
C18,143.18,-125.83,-90,bottom
C19,133.62,-104.32,90,top
C2,132.61875,-129.921,180,bottom
C20,132.07,-108.8,90,top
C21,133.59,-108.8,90,top
C22,156.355,-123.59,0,bottom
C23,159.37,-123.6,180,bottom
C24,154.045,-125.89,-90,bottom
C25,156.04,-86.185,0,top
C26,159.06,-86.185,180,top
C27,159.79,-83.875,90,top
C28,154.05,-78.675,-90,top
C29,151.1,-76.33,180,top
C3,148.77,-86.155,0,top
C30,157.47,-77.58,-90,top
C31,155.95,-77.58,-90,top
C32,161.32,-83.875,90,top
C33,148,-78.65,90,top
C34,143,-131.7,90,bottom
C35,134.5184,-126.632,90,bottom
C4,132.62375,-133.35,180,bottom
C5,151.8,-86.15,180,top
C6,145.4,-131,90,bottom
C7,151.825,-134,0,bottom
C8,152.62,-136.27,90,bottom
C9,160.435,-125.89,-90,bottom
D1,145.78,-73.37,180,top
D2,145.7925,-71.77,180,top
E1,137.45,-61.8,0,top
L1,132.44,-71.85,90,top
L2,149.53,-131.01,0,bottom
L3,151.02,-136.27,90,bottom
Q1,137.64,-133.47,0,bottom
Q2,155.59,-90.21,-90,top
Q3,137.57,-129.88,180,bottom
Q4,139.7,-126.42,-90,bottom
R1,137.59,-126.625,90,bottom
R10,137.02,-137.545,90,bottom
R11,141.82,-137.545,-90,bottom
R12,149.18,-73.37,180,top
R13,149.1925,-71.77,180,top
R14,140.22,-137.545,90,bottom
R15,138.62,-137.57,90,bottom
R16,161.45,-138.04,90,bottom
R17,140.28,-129.67,90,bottom
R18,136.86,-124.35,180,bottom
R19,158.6,-113.515,90,top
R2,153.16,-83.87,-90,top
R20,158.13,-128.93,180,bottom
R21,154.7,-83.875,90,top
R3,148,-83.865,90,top
R4,136.06,-126.62,-90,bottom
R5,148.94,-94.69,0,top
R6,154.45,-71.75,0,top
R7,154.44,-73.29,0,top
R8,157.73,-90.53,-90,top
R9,155.89,-92.81,180,top
SC1,142.14,-131.45,-90,top
SC2,132.84,-131.45,90,top
SC3,150.84,-131.45,-90,top
SC4,158.94,-131.45,90,top
SW3,148.825,-90.285,-90,top
SW4,152.205,-90.275,90,top
U1,150.59,-83.58,90,top
U2,129.945,-92.44,0,top
U3,146.72,-137.07,180,bottom
U4,146.3525,-126.15,180,bottom
U5,146.77,-107.99,0,top
U6,157.245,-126.2,180,bottom
U7,157.3,-83.88,0,top
U8,151.11,-79.045,180,top
U9,160.23,-77.58,0,top
